,District,Price,Tel,combined_bs,cooking_space,dist,floor,house_type,lat,link,living_space,lon,metro_station,metro_time,new,rooms,separate_bs,total_floors,total_space,walk,metro_time_non,total_floors_non,living_space_non,cooking_space_non
0,0,528391080,0,0,9.01186393805,2.72088474059,8,Else,55.749603,150090567,28.4114849481,37.597872,Арбатская,7.0,0,6.0,0,9.0,399.0,1.0,0,0,1,1
1,0,311298500,1,3,9.01186393805,3.51211255445,5,монолитный,55.757526,150453732,165.0,37.590632,Баррикадная,10.0,0,5.0,0,7.0,200.0,1.0,0,0,0,1
2,0,14000000,1,0,8.9,6.48265949881,5,кирпичный,55.743831,150613273,50.9,37.679835,Римская,5.0,0,3.0,1,5.0,75.5,0.0,0,0,0,0
3,0,4403057,0,1,9.01186393805,5.86425031966,3,Else,55.775753,149031353,22.7,37.671938,Красносельская,6.0,1,1.0,0,13.9653499653,22.7,1.0,0,1,0,1
4,0,4814581,0,1,9.01186393805,5.90357060989,2,Else,55.776294,148567438,28.4114849481,37.672163,Бауманская,5.0,0,1.0,0,5.0,17.3,1.0,0,0,1,1
5,0,4814581,0,1,9.01186393805,5.90357060989,2,кирпичный,55.776294,150346368,17.3,37.672163,Красносельская,5.0,0,1.0,0,6.0,17.3,1.0,0,0,0,1
6,0,5377566,0,1,9.01186393805,5.90357060989,5,Else,55.776294,149023045,28.4114849481,37.672163,Бауманская,5.0,0,1.0,0,5.0,18.3,1.0,0,0,1,1
7,0,5377566,0,1,9.01186393805,5.86425031966,5,Else,55.775753,149031321,18.3,37.671938,Красносельская,6.0,1,1.0,0,13.9653499653,18.3,1.0,0,1,0,1
8,0,5496232,0,1,9.01186393805,5.90357060989,2,кирпичный,55.776294,148794719,23.7,37.672163,Красносельская,5.0,0,1.0,0,6.0,23.7,1.0,0,0,0,1
9,0,5496232,0,1,9.01186393805,5.86425031966,2,Else,55.775753,149031261,23.7,37.671938,Красносельская,6.0,1,1.0,0,13.9653499653,23.7,1.0,0,1,0,1
10,0,5500000,1,1,7.0,6.06114253617,1,Else,55.730101,150640194,20.0,37.673214,Пролетарская,4.0,0,1.0,0,9.0,32.0,1.0,0,0,0,0
11,0,5500000,0,1,9.0,2.85729135983,3,панельныйдом,55.774305,149431030,19.0,37.642132,Сухаревская,5.0,0,1.0,0,16.0,34.0,1.0,0,0,0,0
12,0,5700000,0,1,7.0,9.18254315414,1,Else,55.752035,150777262,18.0,37.539527,Выставочная,2.0,0,1.0,0,5.0,33.0,1.0,0,0,0,0
13,0,5990000,1,0,5.5,11.0787496752,3,кирпичный,55.756356,150165274,15.6,37.522477,Улица 1905 года,5.0,0,1.0,1,5.0,29.0,0.0,0,0,0,0
14,0,5999000,1,0,6.0,11.0787496752,3,кирпичный,55.756356,149849414,16.0,37.522477,Нет,11.065747614,0,1.0,1,5.0,30.0,0.0,1,0,0,0
15,0,6000000,0,0,6.0,9.26875614149,5,кирпичный,55.764551,145609912,20.0,37.539158,Улица 1905 года,10.0,0,1.0,0,5.0,32.0,1.0,0,0,0,0
16,0,6000000,0,0,10.0,11.0189911131,1,Else,55.753387,149300855,20.0,37.522998,Международная,13.0,0,1.0,0,12.0,35.0,1.0,0,0,0,0
17,0,6000000,1,1,9.6,6.29850893848,12,панельныйдом,55.737988,149788538,20.1,37.677301,Римская,10.0,0,1.0,0,12.0,35.1,0.0,0,0,0,0
18,0,6100000,1,0,10.0,6.29850893848,12,блочный,55.737988,149727197,20.0,37.677301,Римская,10.0,0,1.0,1,12.0,36.0,1.0,0,0,0,0
